id,query,intent,slots,domain,action
7874,i need an event three days from now scheduled with amy,calendar_set,"['date : three days from now', 'person : amy']",calendar,set
5822,turn up,audio_volume_up,[],iot,volume_up
5013,brighten the lights a little bit,iot_hue_lightup,[],iot,hue_lightup
3033,what's the current weather,weather_query,[],weather,query
2831,please make coffee,iot_coffee,[],iot,coffee
5148,silent mode on for the next three hours,audio_volume_mute,['time : next three hours'],iot,volume_mute
5172,please wake me up at seven thirty am,alarm_set,['time : seven thirty am'],alarm,set
5891,are there any alarms set what are they,alarm_query,[],alarm,query
15135,is i. b. m. up today,qa_stock,"['business_name : i. b. m.', 'date : today']",qa,stock
11917,i need something fun to do this weekend nearby can you give me ideas,recommendation_events,"['date : this weekend','place_name:nearby']",recommendation,events
701,check weather,weather_query,[],weather,query
7619,when will i meet with joe next,calendar_set,['person : joe'],calendar,set
5542,please let me know the alarm kept for tuesday's meeting,alarm_query,"['date : tuesday', 'event_name : meeting']",alarm,query
11884,what's happening tonight in chicago,recommendation_events,"['timeofday : tonight', 'place_name : chicago']",recommendation,events
4649,i love that song,music_likeness,[],music,likeness
13745,can you guarantee that you can chose the winning lottery numbers,general_quirky,['content:can you guarantee that you can chose the winning lottery numbers'],qa,quirky
14256,download certain vocab,general_quirky,['content:download certain vocab'],qa,quirky
7452,could you please create a new event on my calendar,calendar_set,[],calendar,set
15817,any recent emails from anna,email_query,"['from_person : anna','descriptor:recent']",email,query
9666,play audiobook,play_audiobook,[],audiobook,audiobook
83,hey start vacuum cleaner robot,iot_cleaning,['device_type : vacuum cleaner robot'],iot,cleaning
4656,set an alarm for thursday at seven pm,alarm_set,"['date : thursday', 'time : seven pm']",alarm,set
13882,what are i. b. m.'s stock prices,qa_stock,['business_name : i. b. m.'],qa,stock
12567,i need directions to lowes in mount h nj,transport_query,['to_place_name : lowes in mount h nj'],transport,query
5078,do i need a coat,weather_query,['weather_descriptor : coat'],weather,query
16116,between ten pm to nine am all emails received is to be replied to,email_sendemail,"['time : ten pm', 'time : nine am']",email,sendemail
1485,list all the alarms,alarm_query,['descriptor:all'],alarm,query
11880,what should i do in san diego,recommendation_events,['place_name : san diego'],recommendation,events
15481,get it fast resolved,general_quirky,['content:get it fast resolved'],qa,quirky
14478,what is twenty three times fifty two,qa_maths,['content:twenty three times fifty two'],qa,maths
13822,does mr t have a family,general_quirky,['content:does mr t have a family'],qa,quirky
11516,olly let's hear the united states of anxiety podcast,play_podcasts,['podcast_name : the united states of anxiety'],podcasts,podcasts
13468,i would like if will be smart and intelligent in way it will be familiar with me and recognise the way i like the result will be,general_quirky,['content:i would like if will be smart and intelligent in way it will be familiar with me and recognise the way i like the result will be'],qa,quirky
549,please repeat that music again of akon,music_settings,"['player_setting : repeat', 'artist_name : akon']",music,settings
13512,what is the capital of maryland,qa_factoid,['content: the capital of maryland'],qa,factoid
11095,find the list you want to delete,lists_remove,[],lists,remove
4965,please switch on my wemo plug socket,iot_wemo_on,['device_type : wemo plug socket'],iot,wemo_on
