id,sentence,intent,slots,action
5822,turn up,audio_volume_up,[],volume_up
3033,what's the current weather,weather_query,[],query
6951,i want you to remind me the next meeting with my girlfriend it will be at eight pm next sunday,calendar_set,"['event_name : meeting','relation:girlfriend', 'time : eight pm', 'date : next Sunday']",set
3249,cancel alarm for tenth of march two thousand seventeen,alarm_remove,['date : tenth of march two thousand seventeen'],remove
7638,add dentist appointment for friday at five,calendar_set,"['event_name : dentist appointment', 'date : friday', 'time : five']",set
4263,have you heard any good jokes lately,general_joke,[],joke
15481,get it fast resolved,social_post,[],post
12833,alexa book me a train ticket for this afternoon to chicago,transport_ticket,"['transport_type : train', 'timeofday : this afternoon', 'place_name : chicago']",ticket
4539,i did not want you to send that text yet wait until i say send,email_sendemail,['setting:save'],sendemail
557,how many alarms are listed,alarm_query,[],query
15720,tweet bad service related to out local haskell mcdonalds,social_post,"['media_type : twitter', 'content : bad service related to out local haskell mcdonalds','business_name:mcdonalds']",post
4590,add a new notifier for the gps on my car,calendar_set,['event_name : gps on my car'],set
14099,what causes if i had junk food and alcohols,general_quirky,['content:what causes if i had junk food and alcohols'],quirky
16209,send email to nancy about tomorrow's work party details,email_sendemail,"['to_person : nancy', ""date : tomorrow"", 'content : work party details']",sendemail
3316,find the latest article from chris hedges on truthdig,social_query,"['person : chris hedges', 'media_type : truthdig','descriptor:latest']",query
9933,find a recipe for a romantic dinner for two,cooking_recipe,['descriptor: romantic dinner for two'],recipe
8210,do i have any off days this week,calendar_query,"['date : this week','event_name:off days']",query
16618,draft an email to kailey about work later,email_sendemail,"['to_person : kailey','content:work later']",sendemail
6553,whats happening in pop industry,news_query,['news_topic : pop industry'],query
2613,is today the fourth or the fifth,datetime_query,['date : today'],query
4149,please turn up the lights in this room,iot_hue_lightup,['house_place:this room'],hue_lightup
4571,the wemo plug should be turned off on,iot_wemo_off,['device_type : wemo plug'],wemo_off
13402,when i get home can you please order a pizza,takeaway_order,['food_type : pizza'],order
14632,what is the purpose of life,general_quirky,['content: the purpose of life'],quirky
12083,find the events,recommendation_events,[],events
8970,clear all concert schedule,calendar_remove,['event_name : concert'],remove
7521,tell me every day to take green tea at four pm,alarm_set,"['general_frequency : every day', 'event_name : green tea', 'time : four pm']",set
9159,olly create an event in my calendar,calendar_set,[],set
9277,start radio and go to frequency on one thousand and forty eight,play_radio,['radio_name : one thousand and forty eight'],radio
6484,olly i worked today,general_quirky,['content :olly i worked today'],quirky
14244,how do you make steel,general_quirky,['content:how do you make steel'],quirky
7733,wake me up every weekday at seven am,alarm_set,"['time : seven am','date:weekday']",set
2039,it's pleasant today,weather_query,"['weather_descriptor : pleasant', 'date : today']",query
4102,newest world news,news_query,"['place_name : world','descriptor:newest']",query
12060,i wish to go for cheap shopping is there any dollars shop nearby,recommendation_locations,"['business_type : dollars shop','place_name:nearby']",locations
7951,what's going on between three hundred and thirty and four,calendar_query,"['time : three hundred and thirty', 'time2: four']",query
34,i want to listen arijit singh song once again,play_music,['artist_name : arijit singh'],music
15864,is alex saved in my contacts list,email_querycontact,['person : alex'],querycontact
13094,what does session mean,qa_definition,['definition_word : session'],definition
12297,hail taxi,transport_taxi,['transport_type : taxi'],taxi
15730,tell me if anything important is happening on social media today,social_query,['date : today'],query
16136,check email and what is the latest subject,email_query,['descriptor:latest'],query
10619,i want to start a new list of power tools on sale at true value,lists_createoradd,['list_name : power tools on sale at true value'],createoradd
5803,more light,iot_hue_lightup,[],hue_lightup
8588,schedule a meeting with ri on april first at ten am,calendar_set,"['event_name : meeting','person: ri', 'date : april first', 'time : ten am']",set
9125,when is my next dentist appointment,calendar_query,"['event_name : dentist appointment','descriptor:next']",query
1130,is it going to rain later today,weather_query,"['weather_descriptor : rain', 'date : today']",query
17086,reply to this please,email_sendemail,['setting:reply'],sendemail
10044,how do i make tuna casserole from scratch,cooking_recipe,['food_type : tuna casserole'],recipe
2586,save this channel on pandora please,radio_likeness,['app_name : pandora'],likeness
2607,is today march sixth,datetime_query,['date : today'],query
10594,i want to have a new playlist of songs,playlists_createoradd,[],createoradd
11809,can you recommend good stores in this area,recommendation_locations,"['business_type : stores', 'place_name : this area']",locations
5517,remember this music,music_likeness,[],likeness
5800,will i need a jacket after ten pm in my area,weather_query,"['weather_descriptor : jacket', 'time : ten pm','place_name:my area']",query
6639,a fresh day,general_quirky,['content:a fresh day'],quirky
11956,olly what movies are playing near me,recommendation_movies,['place_name:near'],movies
7636,add yoga class at noon to my schedule for the next three sundays,calendar_set,"['event_name : yoga class', 'timeofday : noon', 'date : next three sundays']",set
6924,do i have any meeting today,calendar_query,"['event_name : meeting', 'date : today']",query
3847,what are my favorite types of music,music_query,['descriptor:favorite type'],query
7290,delete all my appointments for today,calendar_remove,['date : today'],remove
5507,please arrange to wake me up at three am alarm,alarm_set,"['time : three am','event_name:wake up']",set
7332,text your lost android phone to turn the ringer volume up one percent,phone_text,"['device_type:android phone','text:turn the ringer volume up one percent']",text
15814,alert me of an email from dave about the meeting,email_subscription,"['from_person : dave', 'content : meeting']",subscription
2577,lights off in the kitchen please,iot_hue_lightoff,['house_place : kitchen'],hue_lightoff
10064,how many vegetables should i eat a day,general_quirky,['content : how many vegetables should i eat a day'],quirky
1674,remove alarm of seven thirty am on monday,alarm_remove,"['time : seven thirty am', 'date : monday']",remove
16855,jane doe emails,email_query,['person : jane doe'],query
4367,what is the current time in london,datetime_query,['place_name : london'],query
9073,remove that event from calendar,calendar_remove,['descriptor:that event'],remove
11059,name the lists available,lists_query,[],query
13364,when is president's day,qa_factoid,"[""content:president's day""]",factoid
915,turn the lights off to my room,iot_hue_lightoff,['house_place : my room'],hue_lightoff
607,set mute for twenty minutes,audio_volume_mute,['time : twenty minutes'],volume_mute
72,start playing music from favourites,play_music,['playlist_name:favourites'],music
4627,is it supposed to rain tomorrow,weather_query,"['weather_descriptor : rain', 'date : tomorrow']",query
5068,please put this playlist on shuffle,music_settings,['player_setting : shuffle'],settings
1021,is there any rap that doesn't involve sex money and drugs,general_quirky,['content:is there any rap that doesn't involve sex money and drugs'],quirky
4781,wake me up at six thirty,alarm_set,['time : six thirty'],set
14702,explain what a contact lense is,qa_definition,['definition_word : contact lense'],definition
4257,please tell me the current date,datetime_query,[],query
2218,i want to listen to electric slide,play_music,['music_genre : electric slide'],music
9001,schedule a meeting with the vp of the department on the twenty first of march two thousand and seventeen,calendar_set,"['event_name : meeting','relation: the vp of the department', 'date : the twenty first of march two thousand and seventeen']",set
231,could you please help me to order some sushi from deliveroo,takeaway_order,"['food_type : sushi', 'business_name : deliveroo']",order
8839,which is the next event coming up,calendar_query,['descriptor:next'],query
8288,remove what i have to do on the twenty three of march,calendar_remove,['date : twenty three of march'],remove
143,i don't like it,music_dislikeness,[],dislikeness
6696,hey olly i just lost my wallet today,general_quirky,['content:i just lost my wallet today'],quirky
6333,i had the worst day ever today,general_quirky,['content: i had the worst day ever today'],quirky
9869,start dune from where i left off,play_audiobook,"['player_setting : resume', 'audiobook_name : dune']",audiobook
12859,when is the next train to london,transport_query,"['transport_type : train', 'to_place_name : london','descriptor:next']",query
14438,find exchange rate for u. s. d. to euro,qa_currency,"['currency_name : u. s. d.', 'currency_name : euro']",currency
6685,today i had a lunch with my longtime sweetheart play me a nice song to the mood,play_music,['music_tag: sweetheart'],music
